date,name,value
2000,All Other Accidents,0.18040699999999998
2001,All Other Accidents,0.188019
2002,All Other Accidents,0.200409
2003,All Other Accidents,0.207537
2004,All Other Accidents,0.21454099999999998
2005,All Other Accidents,0.229388
2006,All Other Accidents,0.23859699999999998
2007,All Other Accidents,0.24655
2008,All Other Accidents,0.25031
2009,All Other Accidents,0.246416
2010,All Other Accidents,0.255884
2011,All Other Accidents,0.26803
2012,All Other Accidents,0.26508899999999996
2013,All Other Accidents,0.272988
2014,All Other Accidents,0.28539499999999995
2015,All Other Accidents,0.306346
2016,All Other Accidents,0.34068699999999996
2017,All Other Accidents,0.362155
1962,Suicides,0.12901600000000002
1963,Suicides,0.13058699999999998
1964,Suicides,0.126283
1965,Suicides,0.13001
1966,Suicides,0.126728
1967,Suicides,0.12494000000000001
1968,Suicides,0.12388199999999999
1969,Suicides,0.127418
1970,Suicides,0.13126400000000002
1971,Suicides,0.13155799999999998
1972,Suicides,0.133501
1973,Suicides,0.131294
1974,Suicides,0.131622
1975,Suicides,0.13584300000000002
1976,Suicides,0.131923
